Tau,STRK_PRC,L_BID,L_ASK,UNDL_PRC (S),OIT,VOL,HIGH,LOW,OPEN,LAST,Trade date,expiry date,moneyness
30,500,702.7,705.1,1206.0699,0,0,0,0,0,0,40513,40543,0.41456967
30,550,652.4,655.3,1206.0699,0,0,0,0,0,0,40513,40543,0.456026637
30,600,602.4,605.3,1206.0699,0,0,0,0,0,0,40513,40543,0.497483604
30,650,552.4,555.3,1206.0699,0,0,0,0,0,0,40513,40543,0.538940571
30,700,502.4,505.3,1206.0699,0,0,0,0,0,0,40513,40543,0.580397537
30,725,477.4,480.3,1206.0699,0,0,0,0,0,0,40513,40543,0.601126021
30,750,452.4,455.3,1206.0699,0,0,0,0,0,0,40513,40543,0.621854504
30,775,427.5,430.4,1206.0699,0,0,0,0,0,0,40513,40543,0.642582988
30,800,402.5,405.4,1206.0699,8,0,0,0,0,0,40513,40543,0.663311471
30,825,377.6,380.5,1206.0699,0,0,0,0,0,0,40513,40543,0.684039955
30,850,352.6,355.5,1206.0699,0,0,0,0,0,0,40513,40543,0.704768438
30,875,328,330.3,1206.0699,0,0,0,0,0,0,40513,40543,0.725496922
30,900,303.1,305.4,1206.0699,0,0,0,0,0,0,40513,40543,0.746225405
30,925,277.9,280.8,1206.0699,0,0,0,0,0,0,40513,40543,0.766953889
30,950,253.1,256,1206.0699,0,0,0,0,0,0,40513,40543,0.787682372
30,975,228.4,231.3,1206.0699,30,0,0,0,0,0,40513,40543,0.808410856
30,1000,203.7,206.6,1206.0699,300,0,0,0,0,0,40513,40543,0.829139339
30,1025,179.3,181.7,1206.0699,0,0,0,0,0,0,40513,40543,0.849867823
30,1050,154.8,157.7,1206.0699,413,0,0,0,0,0,40513,40543,0.870596306
30,1075,130.7,133.6,1206.0699,0,0,0,0,0,0,40513,40543,0.89132479
30,1080,126.2,128.5,1206.0699,0,0,0,0,0,0,40513,40543,0.895470486
30,1090,116.5,119.4,1206.0699,10,0,0,0,0,0,40513,40543,0.90376188
30,1100,107.4,109.7,1206.0699,4531,0,0,0,0,0,40513,40543,0.912053273
30,1110,97.9,100.8,1206.0699,10,0,0,0,0,0,40513,40543,0.920344667
30,1120,89.1,91.4,1206.0699,0,0,0,0,0,0,40513,40543,0.92863606
30,1125,84.6,87.5,1206.0699,9,0,0,0,0,0,40513,40543,0.932781757
30,1130,79.9,82.8,1206.0699,0,0,0,0,0,0,40513,40543,0.936927453
30,1140,71.6,73.9,1206.0699,0,0,0,0,0,0,40513,40543,0.945218847
30,1150,63.2,65.5,1206.0699,4165,1,59.72,59.72,59.72,59.72,40513,40543,0.95351024
30,1160,55.3,57,1206.0699,23,0,0,0,0,0,40513,40543,0.961801634
30,1170,47.6,49.3,1206.0699,0,0,0,0,0,0,40513,40543,0.970093027
30,1175,43.8,45.5,1206.0699,405,0,0,0,0,0,40513,40543,0.974238724
30,1180,40.1,41.8,1206.0699,400,0,0,0,0,0,40513,40543,0.97838442
30,1190,32.2,36.1,1206.0699,6,2,30.19,30.19,30.19,30.19,40513,40543,0.986675814
30,1200,26.8,29,1206.0699,7582,13,28.7,25.05,25.05,28,40513,40543,0.994967207
30,1210,20.1,24,1206.0699,254,102,22.3,18.35,18.8,22.3,40513,40543,1.003258601
30,1215,18.9,20.1,1206.0699,13,0,0,0,0,0,40513,40543,1.007404297
30,1220,16.2,18,1206.0699,7332,9,17.4,13.3,13.3,17.1,40513,40543,1.011549994
30,1225,13.3,16.4,1206.0699,3461,12,15.53,12.1,12.1,15.53,40513,40543,1.015695691
30,1230,11.3,14.4,1206.0699,447,28,10.84,10.16,10.5,10.84,40513,40543,1.019841387
30,1245,7.4,8.3,1206.0699,0,0,0,0,0,0,40513,40543,1.032278477
30,1250,6.1,7,1206.0699,10676,103,6.2,4.1,4.1,6.2,40513,40543,1.036424174
30,1255,5,6.1,1206.0699,112,12,4,3.73,3.73,4,40513,40543,1.040569871
30,1260,3.7,5.2,1206.0699,61,117,4.7,3.31,3.31,4.7,40513,40543,1.044715567
30,1265,3.3,4,1206.0699,64,11,3.7,3.26,3.26,3.7,40513,40543,1.048861264
30,1275,2,2.8,1206.0699,8765,531,2.6,2,2.1,2.4,40513,40543,1.057152658
30,1300,0.35,1,1206.0699,2349,53,0.75,0.5,0.6,0.75,40513,40543,1.077881141
30,1325,0.2,0.6,1206.0699,103,0,0,0,0,0,40513,40543,1.098609625
30,1350,0.05,0.1,1206.0699,53,12,0.1,0.1,0.1,0.1,40513,40543,1.119338108
30,1400,0,0.1,1206.0699,2257,10,0.05,0.05,0.05,0.05,40513,40543,1.160795075
30,1450,0,0.15,1206.0699,61,0,0,0,0,0,40513,40543,1.202252042
30,1500,0,0.15,1206.0699,70,0,0,0,0,0,40513,40543,1.243709009
30,1550,0,0.15,1206.0699,5,0,0,0,0,0,40513,40543,1.285165976
30,1600,0,0.15,1206.0699,14,0,0,0,0,0,40513,40543,1.326622943
