Strike ,VOL,Tau,UNDL_PRC (S),L_BID,L_ASK,Price,HIGH,LOW,OPEN,LAST,Trade date,expiry date
870,0,17,1206.0699,333.2,336.1,334.65,0,0,0,0,40513,40530
875,0,17,1206.0699,328.4,330.8,329.6,0,0,0,0,40513,40530
880,0,17,1206.0699,323.4,325.8,324.6,0,0,0,0,40513,40530
885,0,17,1206.0699,318.4,320.8,319.6,0,0,0,0,40513,40530
890,0,17,1206.0699,313.4,315.8,314.6,0,0,0,0,40513,40530
895,0,17,1206.0699,308.4,310.8,309.6,0,0,0,0,40513,40530
900,0,17,1206.0699,303.2,306.1,304.65,0,0,0,0,40513,40530
905,0,17,1206.0699,298.4,300.8,299.6,0,0,0,0,40513,40530
910,0,17,1206.0699,293.2,296.1,294.65,0,0,0,0,40513,40530
915,0,17,1206.0699,288.5,291.4,289.95,0,0,0,0,40513,40530
920,0,17,1206.0699,283.5,286.4,284.95,0,0,0,0,40513,40530
925,0,17,1206.0699,278.5,280.8,279.65,0,0,0,0,40513,40530
930,0,17,1206.0699,273.5,275.8,274.65,0,0,0,0,40513,40530
935,0,17,1206.0699,268.3,271.2,269.75,0,0,0,0,40513,40530
940,0,17,1206.0699,263.5,265.8,264.65,0,0,0,0,40513,40530
945,0,17,1206.0699,258.3,261.2,259.75,0,0,0,0,40513,40530
950,0,17,1206.0699,253.3,256.2,254.75,0,0,0,0,40513,40530
955,0,17,1206.0699,248.3,251.2,249.75,0,0,0,0,40513,40530
960,0,17,1206.0699,243.3,246.2,244.75,0,0,0,0,40513,40530
965,0,17,1206.0699,238.3,241.2,239.75,0,0,0,0,40513,40530
970,0,17,1206.0699,233.6,236.5,235.05,0,0,0,0,40513,40530
975,0,17,1206.0699,228.4,231.3,229.85,0,0,0,0,40513,40530
980,0,17,1206.0699,223.4,226.3,224.85,0,0,0,0,40513,40530
985,0,17,1206.0699,218.6,221,219.8,0,0,0,0,40513,40530
990,0,17,1206.0699,213.4,216.3,214.85,0,0,0,0,40513,40530
995,0,17,1206.0699,208.5,211.4,209.95,0,0,0,0,40513,40530
1000,0,17,1206.0699,203.5,206.4,204.95,0,0,0,0,40513,40530
1005,0,17,1206.0699,198.5,201.4,199.95,0,0,0,0,40513,40530
1010,0,17,1206.0699,193.5,196.4,194.95,0,0,0,0,40513,40530
1015,0,17,1206.0699,188.6,191.5,190.05,0,0,0,0,40513,40530
1020,0,17,1206.0699,183.8,186.1,184.95,0,0,0,0,40513,40530
1025,10,17,1206.0699,178.7,181.6,180.15,173.9,173.9,173.9,173.9,40513,40530
